date;banque;indicateur;pays;valeur;activité filiale
2014-12-31;BNP;FILIALES;Afrique du Sud;BNP Paribas Cadiz Securities;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Afrique du Sud;BNP Paribas Cadiz Stockbroking;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Afrique du Sud;BNP Paribas SA (succ. Afrique du Sud);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Afrique du Sud;RCS Cards Proprietary Ltd;Personal Finance
2014-12-31;BNP;FILIALES;Afrique du Sud;RCS Collections Proprietary Ltd;Personal Finance
2014-12-31;BNP;FILIALES;Afrique du Sud;RCS Home Loans Proprietary Ltd;Personal Finance
2014-12-31;BNP;FILIALES;Afrique du Sud;RCS Investment Holdings Ltd;Personal Finance
2014-12-31;BNP;FILIALES;Algérie;BNP Paribas ElDjazair;Europe Méditerranée
2014-12-31;BNP;FILIALES;Algérie;Cetelem Algérie;Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;Arval Deutschland GmbH;Arval
2014-12-31;BNP;FILIALES;Allemagne;Cardif Assurance Vie (succ. Allemagne);Assurance
2014-12-31;BNP;FILIALES;Allemagne;Cardif Assurances Risques Divers (succ. Allemagne);Assurance
2014-12-31;BNP;FILIALES;Allemagne;BGL BNP Paribas (succ. Allemagne);Banque de détail
2014-12-31;BNP;FILIALES;Allemagne;BNP Paribas Factor GmbH;Banque de détail
2014-12-31;BNP;FILIALES;Allemagne;BNP Paribas Emission und Handel. GmbH;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Allemagne;BNP Paribas Fortis (succ. Allemagne);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Allemagne;BNP Paribas SA (succ. Allemagne);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Allemagne;BNP Paribas Investment Partners Belgium (succ. Allemagne);Investment Partners
2014-12-31;BNP;FILIALES;Allemagne;All in One Vermietungsgesellschaft für Telekommunicationsanlagen mbH;Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;BNP Paribas Lease Group BPLG (succ. Allemagne);Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;Claas Financial Services (succ. Allemagne);Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;CNH Industrial Capital Europe (succ. Allemagne);Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;Fortis Lease Deutschland GmbH;Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;JCB Finance (succ. Allemagne);Leasing solutions
2014-12-31;BNP;FILIALES;Allemagne;Commerz Finanz;Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;Gesellschaft für Capital & Vermögensverwaltung Gmbh (GCV);Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;Inkasso Kodat Gmbh & Co KG;Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;Von Essen GmbH & Co. KG Bankgesellschaft;Personal Finance
2014-12-31;BNP;FILIALES;Allemagne;BNP Paribas Beteiligungsholding AG;Personal Investors
2014-12-31;BNP;FILIALES;Allemagne;Cortal Consors (succ. Allemagne);Personal Investors
2014-12-31;BNP;FILIALES;Allemagne;DAB Bank AG;Personal Investors
2014-12-31;BNP;FILIALES;Allemagne;BNP Paribas Securities Services - BP2S (succ. Allemagne) ;Securities Services
2014-12-31;BNP;FILIALES;Allemagne;BNP Paribas Real Estate Consult GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Allemagne;BNP Paribas Real Estate GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Allemagne;BNP Paribas Real Estate Holding GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Allemagne;BNP Paribas Real Estate Investment Management Germany GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Allemagne;BNP Paribas Real Estate property Management GmbH;Services immobiliers
2014-12-31;BNP;FILIALES;Arabie Saoudite;BNP Paribas Investment Company KSA;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Arabie Saoudite;BNP Paribas SA (succ. Arabie Saoudite);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Argentine;Cardif Seguros SA;Assurance
2014-12-31;BNP;FILIALES;Argentine;BNP Paribas SA (succ. Argentine);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Argentine;BNP Paribas investment Partners Argentina SA;Investment Partners
2014-12-31;BNP;FILIALES;Argentine;Banco Cetelem Argentina SA;Personal Finance
2014-12-31;BNP;FILIALES;Argentine;Banco de Servicios Financieros SA;Personal Finance
2014-12-31;BNP;FILIALES;Argentine;Fideicomiso Financiero Cetelem II, III et IV;Personal Finance
2014-12-31;BNP;FILIALES;Australie;BNP Pacific (Australia) Ltd;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Australie;BNP Paribas SA (succ. Australie);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Australie;BNP Paribas Investment Partners (Australia) Holdings Pty Ltd;Investment Partners
2014-12-31;BNP;FILIALES;Australie;BNP Paribas Investment Partners (Australia) Ltd;Investment Partners
2014-12-31;BNP;FILIALES;Australie;BNP Paribas Fund Services Australasia Pty Ltd;Securities Services
2014-12-31;BNP;FILIALES;Australie;BNP Paribas Securities Services - BP2S (succ. Australie);Securities Services
2014-12-31;BNP;FILIALES;Autriche;Arval Austria GmbH;Arval
2014-12-31;BNP;FILIALES;Autriche;Cardif Assurance Vie (succ. Autriche);Assurance
2014-12-31;BNP;FILIALES;Autriche;Cardif Assurances Risques Divers (succ. Autriche);Assurance
2014-12-31;BNP;FILIALES;Autriche;BNP Paribas Fortis (succ. Autriche);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Autriche;BNP Paribas Asset Management SAS (succ. Autriche);Investment Partners
2014-12-31;BNP;FILIALES;Autriche;All in One Vermietung GmbH;Leasing solutions
2014-12-31;BNP;FILIALES;Autriche;CNH industrial Capital Europe GmbH (ex- CNH Capital Europe GmbH);Leasing solutions
2014-12-31;BNP;FILIALES;Autriche;Direktanlage AT AG;Personal Investors
2014-12-31;BNP;FILIALES;Bahreïn;BNP Paribas SA (succ. Bahrein);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Bahreïn;Turk Ekonomi Bankasi AS (succ. Bahreïn);Europe Méditerranée
2014-12-31;BNP;FILIALES;Belgique;Arval Belgium SA;Arval
2014-12-31;BNP;FILIALES;Belgique;AG Insurance (Groupe);Assurance
2014-12-31;BNP;FILIALES;Belgique;Cardif Assurance Vie (succ. Belgique);Assurance
2014-12-31;BNP;FILIALES;Belgique;Cardif Assurance Risques Divers (succ. Belgique);Assurance
2014-12-31;BNP;FILIALES;Belgique;Cardif Leven;Assurance
2014-12-31;BNP;FILIALES;Belgique;F&B Insurance Holdings SA (Groupe);Assurance
2014-12-31;BNP;FILIALES;Belgique;Alpha Card SCRL (Groupe);Banque de détail
2014-12-31;BNP;FILIALES;Belgique;BASS Master Issuer NV;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;Belgian Mobile Wallet;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;BNP Paribas Fortis;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;BNP Paribas Fortis Factor NV;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;Bpost banque;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;Demetris NV;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;Esmée Master issuer;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;Immobilière Sauvenière SA;Banque de détail
2014-12-31;BNP;FILIALES;Belgique;BNP Paribas SA (succ. Belgique);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Belgique;FScholen;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Belgique;BNP Paribas investment Partners BE Holding;Investment Partners
2014-12-31;BNP;FILIALES;Belgique;BNP Paribas Investment Partners Belgium;Investment Partners
2014-12-31;BNP;FILIALES;Belgique;Ace Equipment Leasing;Leasing solutions
2014-12-31;BNP;FILIALES;Belgique;Ace Leasing;Leasing solutions
2014-12-31;BNP;FILIALES;Belgique;BNP Paribas Lease Group SA Belgium;Leasing solutions
2014-12-31;BNP;FILIALES;Belgique;CNH industrial Capital Europe (succ. Belgique);Leasing solutions
2014-12-31;BNP;FILIALES;Belgique;ES-Finance;Leasing solutions
2014-12-31;BNP;FILIALES;Belgique;Fortis Lease Belgium;Leasing solutions
2014-12-31;BNP;FILIALES;Belgique;Fortis Lease Car & Truck;Leasing solutions
2014-12-31;BNP;FILIALES;Belgique;Alpha Crédit SA;Personal Finance
2014-12-31;BNP;FILIALES;Belgique;Eos Aremas Belgium SA;Personal Finance
2014-12-31;BNP;FILIALES;Belgique;Nissan Finance Belgium NV;Personal Finance
2014-12-31;BNP;FILIALES;Belgique;Cobema;Private Equity (BNP Paribas Capital)
2014-12-31;BNP;FILIALES;Belgique;Fortis Private Equity Belgium NV;Private Equity (BNP Paribas Capital)
2014-12-31;BNP;FILIALES;Belgique;Fortis Private Equity Expansion Belgium NV;Private Equity (BNP Paribas Capital)
2014-12-31;BNP;FILIALES;Belgique;Fortis Private Equity Management Belgium;Private Equity (BNP Paribas Capital)
2014-12-31;BNP;FILIALES;Belgique;Fortis Private Equity Venture Belgium SA;Private Equity (BNP Paribas Capital)
2014-12-31;BNP;FILIALES;Belgique;Gepeco;Private Equity (BNP Paribas Capital)
2014-12-31;BNP;FILIALES;Belgique;BNP Paribas Securities Services - BP2S (succ. Belgique);Securities Services
2014-12-31;BNP;FILIALES;Belgique;BNP Paribas Real Estate Advisory Belgium SA;Services immobiliers
2014-12-31;BNP;FILIALES;Belgique;BNP Paribas Real Estate Holding Benelux SA ;Services immobiliers
2014-12-31;BNP;FILIALES;Belgique;BNP Paribas Real Estate investment Management Belgium;Services immobiliers
2014-12-31;BNP;FILIALES;Belgique;BNP Paribas Real Estate Property Management Belgium;Services immobiliers
